date;month_year;TABATINGA;MANACAPURU;SERRINHA;CARACARAI;PORTOVELHO;FAZENDAVISTAALEGRE;OBIDOS_PORTO
1994-06-20 12:00:00;1994-06;;;;;;;34866028800.0
1995-03-18 12:00:00;1995-03;;41794610688.00001;;;;;
1995-03-24 07:00:00;1995-03;;;;;;;79156362240.0
1995-04-10 12:00:00;1995-04;;;;;;;65054845440.0
1995-05-09 12:00:00;1995-05;;;;;;;37453576032.0
1995-06-08 12:00:00;1995-06;;;;;;;24053855040.0
1995-06-26 12:00:00;1995-06;;;;;4853001600.0;;
1995-08-06 12:00:00;1995-08;;;;;;;15199402176.0
1995-08-07 12:00:00;1995-08;;;;;1715792771.52;;
1995-09-05 12:00:00;1995-09;;;;;;;9428742144.0
1995-10-04 12:00:00;1995-10;;;;;;;5098555814.400001
1995-10-17 12:00:00;1995-10;;;;;239131301.76;;
1995-10-26 12:00:00;1995-10;9298132560.0;;;;;;
1995-11-07 12:00:00;1995-11;;;;;772419888.0;;
1995-11-10 20:00:00;1995-11;;16300849535.999998;;;;;
1995-12-02 12:00:00;1995-12;;;;;;;18376667568.000004
1995-12-07 12:00:00;1995-12;;;;;12074205772.8;;
1996-01-02 12:00:00;1996-01;;;;;;;32613912576.0
1996-01-07 12:00:00;1996-01;;;;;33115230043.2;;
1996-02-01 12:00:00;1996-02;;;;;;;65965398911.99999
1996-02-27 12:00:00;1996-02;;;;;39562812633.600006;;
1996-03-02 12:00:00;1996-03;;;;;;;66942286848.000015
1996-03-07 12:00:00;1996-03;;;;;44232697497.600006;;
1996-04-01 12:00:00;1996-04;;;;;;;45275155200.0
1996-04-07 12:00:00;1996-04;;;;;37368066528.0;;
1996-05-01 12:00:00;1996-05;;;;;;;32362136280.0
1996-05-07 12:00:00;1996-05;;;;;10492870377.600002;;
1996-06-07 12:00:00;1996-06;;;;;5884295328.0;;
1996-06-10 12:00:00;1996-06;;;;;;;21901907520.0
1996-07-05 12:00:00;1996-07;;;1119464064.0;;;;
1996-07-10 12:00:00;1996-07;;;;;;;16576742592.0
1996-07-15 12:00:00;1996-07;;21689549280.0;;;;;
1996-08-09 12:00:00;1996-08;;;;;;;17982241920.0
1996-09-08 12:00:00;1996-09;;;;;;;12694112640.0
1996-10-08 12:00:00;1996-10;;11110029984.000002;;;;;11645843904.0
1996-11-07 12:00:00;1996-11;;;;;;;27630063360.0
1996-12-05 12:00:00;1996-12;;;;65933904.960000016;;;
1996-12-07 12:00:00;1996-12;;;;;;;23986152288.0
1997-01-06 12:00:00;1997-01;;;;;;;48907182240.0
1997-02-05 12:00:00;1997-02;;;;;;;62168335488.00001
1997-03-04 12:00:00;1997-03;;;;;;;63577912896.0
1997-04-03 12:00:00;1997-04;;;;;;;42261229440.0
1997-04-26 12:00:00;1997-04;25782395904.0;;;;;;
1997-05-03 12:00:00;1997-05;;;;;;;26026852032.0
1997-05-12 12:00:00;1997-05;;37489029120.0;;;;;
1997-06-02 12:00:00;1997-06;;;;;;;22887308160.0
1997-07-02 12:00:00;1997-07;;;;;;;20892725280.0
1997-08-01 12:00:00;1997-08;;;;;;;11644219008.0
1997-09-10 12:00:00;1997-09;;;;;;;8343457920.0
1997-09-17 12:00:00;1997-09;;11845103040.000002;;;;;
1997-10-05 12:00:00;1997-10;;16976598249.600002;;;;;
1997-10-10 12:00:00;1997-10;;;;;;;6856828992.0
1997-10-29 12:00:00;1997-10;;;;;;1148815042.5600002;
1997-11-03 12:00:00;1997-11;;;;;5470387315.2;;
1997-11-04 12:00:00;1997-11;;18684017280.0;;;;;
1997-11-08 12:00:00;1997-11;;;;;;3979739520.0;
1997-11-09 12:00:00;1997-11;;;;;;;8556271488.000001
1997-12-03 12:00:00;1997-12;;;;;20960301312.0;;
1997-12-08 12:00:00;1997-12;;;;;;13428404812.8;
1997-12-09 12:00:00;1997-12;;;;;;;23282170560.0
1998-01-03 12:00:00;1998-01;;;;;43117320672.0;;
1998-01-07 12:00:00;1998-01;;;;;;31446196243.200005;
1998-01-10 12:00:00;1998-01;;;;;;;48465165888.0
