,SERRINHA,FAZENDAVISTAALEGRE,CARACARAI,OBIDOS_PORTO,ALTAMIRA,PORTOVELHO,MANACAPURU,ITAPEUA,NAZARATH,TABATINGA
1980-01-16 00:00:00,106126270.0,21191127000.0,18361452.0,9274360000.0,,28146252000.0,11401189000.0,13331247000.0,17404529000.0,17404529000.0
1980-02-15 00:00:00,111862210.0,23038210000.0,8693733.0,34965705000.0,,24501135000.0,15233358000.0,16545600000.0,24610351000.0,24610351000.0
1980-03-16 00:00:00,35493100.0,30342537000.0,5434217.5,50444660000.0,,24989350000.0,23570571000.0,25129250000.0,41098293000.0,41098293000.0
1980-04-15 12:00:00,61776824.0,23817122000.0,23125628.0,61323153000.0,,22709678000.0,41099870000.0,42701610000.0,53518475000.0,53518475000.0
1980-05-16 00:00:00,211397440.0,11863931000.0,67039284.0,37755806000.0,,12410714000.0,26515014000.0,26584822000.0,24273945000.0,24273945000.0
1980-06-15 12:00:00,347669060.0,9280925000.0,111245784.0,20803279000.0,,9562016000.0,9927934000.0,10266371000.0,11105226000.0,11105226000.0
1980-07-16 00:00:00,261929390.0,4353350000.0,131508610.0,13365539000.0,,6054218000.0,8124245500.0,8276994600.0,10928295000.0,10928295000.0
1980-08-16 00:00:00,191797630.0,7432637400.0,125412264.0,13923599000.0,,9192868000.0,7664886000.0,7921927000.0,6980590600.0,6980590600.0
1980-09-15 12:00:00,150907280.0,4189876700.0,69280830.0,8548393500.0,,5034878500.0,4461413400.0,4479056000.0,4128021500.0,4128021500.0
1980-10-16 00:00:00,191509900.0,5016548400.0,48897664.0,7661361700.0,,7297704000.0,4843522000.0,6548736000.0,20445727000.0,20445727000.0
1980-11-15 12:00:00,119126400.0,9851233000.0,29208896.0,33292294000.0,,13591337000.0,28125837000.0,28780782000.0,34173043000.0,34173043000.0
1980-12-16 00:00:00,175722820.0,20473979000.0,35691052.0,43260056000.0,,27771042000.0,32986667000.0,35647280000.0,50170294000.0,50170294000.0
1981-01-16 00:00:00,155796020.0,38249726000.0,27078638.0,59726852000.0,,46095024000.0,25345552000.0,25919100000.0,29193038000.0,29193038000.0
1981-02-14 12:00:00,54850070.0,30144449000.0,12045440.0,46512267000.0,,31543613000.0,20842947000.0,22236150000.0,35389395000.0,35389395000.0
1981-03-16 00:00:00,75827650.0,47903396000.0,24361256.0,127023310000.0,,48816697000.0,91217600000.0,94987354000.0,116344140000.0,116344140000.0
1981-04-15 12:00:00,92285896.0,32806590000.0,27719190.0,81671600000.0,,31057123000.0,50264690000.0,52088430000.0,63926657000.0,63926657000.0
1981-05-16 00:00:00,174541280.0,15435166000.0,174134080.0,53032900000.0,,15662203000.0,37351180000.0,36785586000.0,32843454000.0,32843454000.0
1981-06-15 12:00:00,345057630.0,10730840000.0,349709400.0,34975410000.0,,12576219000.0,24640244000.0,25288796000.0,29837162000.0,29837162000.0
1981-07-16 00:00:00,211008320.0,8496990700.0,383914560.0,32614463000.0,,8717410000.0,23538645000.0,23151080000.0,24031283000.0,24031283000.0
1981-08-16 00:00:00,193606600.0,4500327000.0,304228450.0,14358070000.0,,5584796000.0,9368459000.0,10117455000.0,14586247000.0,14586247000.0
1981-09-15 12:00:00,311650700.0,4752526300.0,204908370.0,16815645000.0,,5585946000.0,12859990000.0,13043030000.0,12931123000.0,12931123000.0
1981-10-16 00:00:00,235976030.0,4734405000.0,110103200.0,11530028000.0,,10079101000.0,8532419000.0,9743880000.0,19110294000.0,19110294000.0
1981-11-15 12:00:00,172468400.0,15219682000.0,82179780.0,35688325000.0,,17716605000.0,27517034000.0,30085830000.0,48834370000.0,48834370000.0
1981-12-16 00:00:00,130236640.0,18200371000.0,42511260.0,55715488000.0,,24590612000.0,46631784000.0,48225903000.0,54195930000.0,54195930000.0
1982-01-16 00:00:00,185809810.0,38222610000.0,26155462.0,84368474000.0,,36755410000.0,52007280000.0,53217354000.0,66942607000.0,66942607000.0
1982-02-14 12:00:00,91156264.0,31318614000.0,20441018.0,75336970000.0,,33305457000.0,49946296000.0,51965792000.0,59248927000.0,59248927000.0
1982-03-16 00:00:00,154344750.0,39318550000.0,36313364.0,93577420000.0,,37112960000.0,58162266000.0,60880160000.0,78407470000.0,78407470000.0
1982-04-15 12:00:00,112203700.0,55120200000.0,27335582.0,128168360000.0,,52939858000.0,76602030000.0,77977210000.0,82010290000.0,82010290000.0
1982-05-16 00:00:00,319402750.0,21483890000.0,218454880.0,64778654000.0,,20609706000.0,40990953000.0,40362620000.0,47339848000.0,47339848000.0
1982-06-15 12:00:00,436435900.0,8781283000.0,209955360.0,45503594000.0,,11006027000.0,36136000000.0,36550308000.0,32455873000.0,32455873000.0
1982-07-16 00:00:00,318742980.0,12717876000.0,133560630.0,32361980000.0,,12220158000.0,20383205000.0,20865341000.0,24414165000.0,24414165000.0
1982-08-16 00:00:00,357570240.0,6711072000.0,107403510.0,23962590000.0,,7416117000.0,17948640000.0,18274324000.0,16638505000.0,16638505000.0
1982-09-15 12:00:00,247689040.0,2627274000.0,61078400.0,11095737000.0,,2928551200.0,7951134700.0,7907595000.0,6335614000.0,6335614000.0
1982-10-16 00:00:00,177943310.0,4729089000.0,35459132.0,12902807000.0,,5822926300.0,10711254000.0,11987190000.0,18747904000.0,18747904000.0
1982-11-15 12:00:00,220047980.0,16374403000.0,30327112.0,36273830000.0,,31493253000.0,26091911000.0,27886156000.0,46420005000.0,46420005000.0
1982-12-16 00:00:00,140676740.0,44360864000.0,17847870.0,90794885000.0,,40207050000.0,63019442000.0,65899532000.0,75752970000.0,75752970000.0
1983-01-16 00:00:00,165011440.0,24821588000.0,15577044.0,73268350000.0,,22619542000.0,44144440000.0,44352668000.0,52702958000.0,52702958000.0
